,0
0,0.7932198557955734
1,0.8597571623045206
2,0.9717233191903467
3,0.9743515487833736
4,0.7986094838864826
5,0.7034078924256567
6,0.6790517269725291
7,0.6712406321432796
8,0.7433836821391624
9,0.9669889851570497
10,0.8319170510178105
11,0.6361979382191244
12,0.6560409800083653
13,0.8464113015714273
14,0.9904671670674251
15,0.74110932618428
16,0.724711749946046
17,0.8729325280462505
18,0.5930860932970267
