,Index,Variant,"Region, subregion, country or area *",Notes,Country code,Type,Parent code,Reference date (as of 1 July),0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+,monocheck
4826,4827,Estimates,Gambia,,270,Country/Area,914,2019,401.0,344.0,291.0,250.0,223.0,194.0,153.0,118.0,94.0,74.0,64.0,48.0,32.0,25.0,19.0,11.0,4.0,1.0,0.0,0.0,0.0,1.0
4897,4898,Estimates,Ghana,,288,Country/Area,914,2019,4135.0,3820.0,3411.0,3086.0,2809.0,2492.0,2212.0,1868.0,1586.0,1373.0,1154.0,904.0,626.0,405.0,288.0,152.0,70.0,23.0,5.0,1.0,0.0,1.0
4968,4969,Estimates,Guinea,,324,Country/Area,914,2019,2060.0,1834.0,1656.0,1476.0,1262.0,1016.0,790.0,613.0,479.0,385.0,325.0,275.0,225.0,170.0,101.0,65.0,29.0,9.0,2.0,0.0,0.0,1.0
5039,5040,Estimates,Guinea-Bissau,,624,Country/Area,914,2019,302.0,272.0,236.0,202.0,178.0,158.0,135.0,111.0,84.0,66.0,49.0,40.0,33.0,26.0,15.0,9.0,4.0,1.0,0.0,0.0,0.0,1.0
5110,5111,Estimates,Liberia,,430,Country/Area,914,2019,730.0,670.0,612.0,537.0,446.0,367.0,328.0,288.0,237.0,192.0,153.0,122.0,94.0,68.0,44.0,31.0,14.0,5.0,1.0,0.0,0.0,1.0
5181,5182,Estimates,Mali,,466,Country/Area,914,2019,3532.0,3096.0,2671.0,2156.0,1708.0,1382.0,1138.0,969.0,801.0,630.0,465.0,346.0,274.0,214.0,137.0,89.0,36.0,12.0,2.0,0.0,0.0,1.0
5252,5253,Estimates,Mauritania,,478,Country/Area,914,2019,679.0,603.0,523.0,459.0,406.0,364.0,326.0,276.0,225.0,180.0,144.0,113.0,85.0,59.0,40.0,25.0,13.0,5.0,1.0,0.0,0.0,1.0
5323,5324,Estimates,Niger,,562,Country/Area,914,2019,4642.0,3839.0,3138.0,2522.0,1992.0,1554.0,1207.0,958.0,813.0,666.0,548.0,471.0,354.0,268.0,182.0,101.0,40.0,12.0,2.0,0.0,0.0,1.0
5394,5395,Estimates,Nigeria,,566,Country/Area,914,2019,33409.0,29282.0,25105.0,21215.0,17505.0,14740.0,12787.0,11053.0,9157.0,7298.0,5749.0,4617.0,3536.0,2523.0,1671.0,885.0,335.0,84.0,14.0,1.0,0.0,1.0
5465,5466,Estimates,Senegal,,686,Country/Area,914,2019,2585.0,2364.0,2032.0,1712.0,1481.0,1271.0,1082.0,907.0,711.0,567.0,449.0,354.0,277.0,211.0,140.0,92.0,44.0,14.0,3.0,0.0,0.0,1.0
