,Index,Variant,"Region, subregion, country or area *",Notes,Country code,Type,Parent code,Reference date (as of 1 July),0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+,monocheck
2058,2059,Estimates,Djibouti,,262,Country/Area,910,2020,99.0,98.0,89.0,91.0,90.0,87.0,86.0,76.0,67.0,54.0,42.0,36.0,26.0,18.0,14.0,8.0,4.0,2.0,0.0,0.0,0.0,0.0
2129,2130,Estimates,Eritrea,,232,Country/Area,910,2020,495.0,477.0,487.0,374.0,285.0,287.0,269.0,191.0,141.0,140.0,88.0,84.0,68.0,60.0,47.0,30.0,15.0,6.0,2.0,0.0,0.0,0.0
2484,2485,Estimates,Mauritius,1,480,Country/Area,910,2020,64.0,69.0,81.0,95.0,94.0,103.0,88.0,87.0,99.0,83.0,85.0,90.0,75.0,63.0,45.0,25.0,15.0,8.0,3.0,1.0,0.0,0.0
2697,2698,Estimates,Réunion,2,638,Country/Area,910,2020,65.0,68.0,68.0,71.0,64.0,54.0,49.0,50.0,57.0,60.0,65.0,60.0,50.0,41.0,28.0,20.0,13.0,8.0,3.0,1.0,0.0,0.0
2768,2769,Estimates,Rwanda,,646,Country/Area,910,2020,1885.0,1676.0,1552.0,1354.0,1184.0,1027.0,979.0,834.0,609.0,461.0,354.0,374.0,259.0,186.0,109.0,65.0,26.0,16.0,2.0,0.0,0.0,0.0
2839,2840,Estimates,Seychelles,,690,Country/Area,910,2020,8.0,8.0,7.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,5.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
3265,3266,Estimates,Zimbabwe,,716,Country/Area,910,2020,2097.0,2211.0,1921.0,1639.0,1378.0,1105.0,995.0,873.0,738.0,520.0,389.0,309.0,240.0,185.0,115.0,86.0,44.0,15.0,3.0,0.0,0.0,0.0
3833,3834,Estimates,Equatorial Guinea,,226,Country/Area,911,2020,200.0,172.0,144.0,121.0,138.0,148.0,144.0,105.0,69.0,47.0,37.0,25.0,20.0,15.0,9.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0
3904,3905,Estimates,Gabon,,266,Country/Area,911,2020,320.0,280.0,229.0,193.0,179.0,188.0,189.0,161.0,129.0,103.0,79.0,55.0,41.0,31.0,22.0,15.0,8.0,3.0,0.0,0.0,0.0,0.0
4188,4189,Estimates,Eswatini,,748,Country/Area,913,2020,144.0,143.0,148.0,129.0,113.0,100.0,83.0,79.0,60.0,44.0,30.0,22.0,20.0,17.0,14.0,9.0,5.0,2.0,0.0,0.0,0.0,0.0
