,Index,Variant,"Region, subregion, country or area *",Notes,Country code,Type,Parent code,Reference date (as of 1 July),0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99,100+,monocheck
4756,4757,Estimates,Côte d'Ivoire,,384,Country/Area,914,2020,4131.0,3619.0,3199.0,2906.0,2538.0,2123.0,1741.0,1431.0,1185.0,932.0,739.0,599.0,475.0,347.0,215.0,127.0,55.0,14.0,2.0,0.0,0.0,1.0
4827,4828,Estimates,Gambia,,270,Country/Area,914,2020,410.0,353.0,300.0,257.0,228.0,201.0,160.0,123.0,98.0,76.0,66.0,50.0,34.0,25.0,19.0,11.0,5.0,1.0,0.0,0.0,0.0,1.0
4898,4899,Estimates,Ghana,,288,Country/Area,914,2020,4169.0,3888.0,3480.0,3137.0,2860.0,2538.0,2266.0,1924.0,1626.0,1405.0,1189.0,946.0,667.0,424.0,298.0,158.0,70.0,21.0,4.0,0.0,0.0,1.0
4969,4970,Estimates,Guinea,,324,Country/Area,914,2020,2100.0,1866.0,1688.0,1512.0,1305.0,1061.0,828.0,642.0,500.0,398.0,333.0,282.0,230.0,178.0,106.0,65.0,29.0,8.0,1.0,0.0,0.0,1.0
5040,5041,Estimates,Guinea-Bissau,,624,Country/Area,914,2020,305.0,277.0,243.0,207.0,181.0,161.0,139.0,116.0,88.0,69.0,51.0,41.0,33.0,27.0,16.0,9.0,4.0,1.0,0.0,0.0,0.0,1.0
5111,5112,Estimates,Liberia,,430,Country/Area,914,2020,740.0,678.0,623.0,552.0,463.0,378.0,334.0,296.0,245.0,199.0,158.0,126.0,97.0,71.0,45.0,31.0,15.0,5.0,1.0,0.0,0.0,1.0
5182,5183,Estimates,Mali,,466,Country/Area,914,2020,3606.0,3155.0,2759.0,2250.0,1776.0,1428.0,1167.0,993.0,827.0,659.0,489.0,360.0,280.0,221.0,141.0,90.0,37.0,11.0,2.0,0.0,0.0,1.0
5253,5254,Estimates,Mauritania,,478,Country/Area,914,2020,690.0,618.0,537.0,470.0,416.0,372.0,334.0,285.0,235.0,188.0,150.0,117.0,89.0,62.0,42.0,26.0,13.0,5.0,1.0,0.0,0.0,1.0
5324,5325,Estimates,Niger,,562,Country/Area,914,2020,4787.0,3971.0,3266.0,2635.0,2087.0,1630.0,1266.0,993.0,838.0,691.0,561.0,486.0,367.0,278.0,190.0,106.0,42.0,11.0,2.0,0.0,0.0,1.0
5395,5396,Estimates,Nigeria,,566,Country/Area,914,2020,33939.0,29914.0,25793.0,21910.0,18069.0,15109.0,13045.0,11324.0,9459.0,7579.0,5943.0,4757.0,3657.0,2602.0,1717.0,907.0,333.0,75.0,9.0,1.0,0.0,1.0
